"Observed Property ID","Observed Property Descritpion","CAS Number","Unit Group","Default Unit","Supports Unit Conversion","EMS Code","Analysis Type","Result Type","Method ID","Method Name","Method Description","Method Source"
"Chloroform (mass conc.)","Volatile Organic Compounds (VOCs); EMS code: C032","67-66-3","MassPerMass","mg/kg",TRUE,"C032","CHEMICAL","NUMERIC","FS04","Static Headspace:HRGC/LRMS","Static Headspace anaylsis is a method for the determination of volatile compounds in liquids and/or solids by analysing the vapour phase of a sample in a closed system; in this case a sealed vial.  Static Headspace is sometimes referred to as Equilibrium Headspace because the vapour phase above the sample in a sealed vial is brought into thermodynamic equilibrium with the sample prior to analysis.  Volatile organic compounds are thermally extracted from the sample matrix by Static Headspace sampling and introduced directly to a thick-film megabore GC column.  Compounds eluting from the GC column are introduced into a Mass Spectrometer and target compounds are identified by a comparison of both retention times and mass spectra with those of reference standards stored in a computerized data system.  Reference retention times and mass spectra for analytes are obtained by the measurement of calibration standards under precisely the same extraction conditions used for samples.  The concentration of each identified component is measured by relating the response of the sample quantitation mass ions to the response of the quantitation mass ions of a series of external standards.  A deuterated surrogate recovery standard is added to provide information on matrix effects.","EMS Migration"
"Toluene (mass conc.)","Volatile Organic Compounds (VOCs); EMS code: T001","108-88-3","MassPerMass","mg/kg",TRUE,"T001","CHEMICAL","NUMERIC","FS04","Static Headspace:HRGC/LRMS","Static Headspace anaylsis is a method for the determination of volatile compounds in liquids and/or solids by analysing the vapour phase of a sample in a closed system; in this case a sealed vial.  Static Headspace is sometimes referred to as Equilibrium Headspace because the vapour phase above the sample in a sealed vial is brought into thermodynamic equilibrium with the sample prior to analysis.  Volatile organic compounds are thermally extracted from the sample matrix by Static Headspace sampling and introduced directly to a thick-film megabore GC column.  Compounds eluting from the GC column are introduced into a Mass Spectrometer and target compounds are identified by a comparison of both retention times and mass spectra with those of reference standards stored in a computerized data system.  Reference retention times and mass spectra for analytes are obtained by the measurement of calibration standards under precisely the same extraction conditions used for samples.  The concentration of each identified component is measured by relating the response of the sample quantitation mass ions to the response of the quantitation mass ions of a series of external standards.  A deuterated surrogate recovery standard is added to provide information on matrix effects.","EMS Migration"
"1;3-Dichlorobenzene (mass conc.)","Volatile Organic Compounds (VOCs); EMS code: B026","541-73-1","MassPerMass","mg/kg",TRUE,"B026","CHEMICAL","NUMERIC","FS04","Static Headspace:HRGC/LRMS","Static Headspace anaylsis is a method for the determination of volatile compounds in liquids and/or solids by analysing the vapour phase of a sample in a closed system; in this case a sealed vial.  Static Headspace is sometimes referred to as Equilibrium Headspace because the vapour phase above the sample in a sealed vial is brought into thermodynamic equilibrium with the sample prior to analysis.  Volatile organic compounds are thermally extracted from the sample matrix by Static Headspace sampling and introduced directly to a thick-film megabore GC column.  Compounds eluting from the GC column are introduced into a Mass Spectrometer and target compounds are identified by a comparison of both retention times and mass spectra with those of reference standards stored in a computerized data system.  Reference retention times and mass spectra for analytes are obtained by the measurement of calibration standards under precisely the same extraction conditions used for samples.  The concentration of each identified component is measured by relating the response of the sample quantitation mass ions to the response of the quantitation mass ions of a series of external standards.  A deuterated surrogate recovery standard is added to provide information on matrix effects.","EMS Migration"
"Benzene (mass conc.)","Petroleum Hydrocarbons; EMS code: B020","71-43-2","MassPerMass","mg/kg",TRUE,"B020","CHEMICAL","NUMERIC","FS04","Static Headspace:HRGC/LRMS","Static Headspace anaylsis is a method for the determination of volatile compounds in liquids and/or solids by analysing the vapour phase of a sample in a closed system; in this case a sealed vial.  Static Headspace is sometimes referred to as Equilibrium Headspace because the vapour phase above the sample in a sealed vial is brought into thermodynamic equilibrium with the sample prior to analysis.  Volatile organic compounds are thermally extracted from the sample matrix by Static Headspace sampling and introduced directly to a thick-film megabore GC column.  Compounds eluting from the GC column are introduced into a Mass Spectrometer and target compounds are identified by a comparison of both retention times and mass spectra with those of reference standards stored in a computerized data system.  Reference retention times and mass spectra for analytes are obtained by the measurement of calibration standards under precisely the same extraction conditions used for samples.  The concentration of each identified component is measured by relating the response of the sample quantitation mass ions to the response of the quantitation mass ions of a series of external standards.  A deuterated surrogate recovery standard is added to provide information on matrix effects.","EMS Migration"
"1;1;2;2-Tetrachloroethane (mass conc.)","Volatile Organic Compounds (VOCs); EMS code: C080","79-34-5","MassPerMass","mg/kg",TRUE,"C080","CHEMICAL","NUMERIC","FS04","Static Headspace:HRGC/LRMS","Static Headspace anaylsis is a method for the determination of volatile compounds in liquids and/or solids by analysing the vapour phase of a sample in a closed system; in this case a sealed vial.  Static Headspace is sometimes referred to as Equilibrium Headspace because the vapour phase above the sample in a sealed vial is brought into thermodynamic equilibrium with the sample prior to analysis.  Volatile organic compounds are thermally extracted from the sample matrix by Static Headspace sampling and introduced directly to a thick-film megabore GC column.  Compounds eluting from the GC column are introduced into a Mass Spectrometer and target compounds are identified by a comparison of both retention times and mass spectra with those of reference standards stored in a computerized data system.  Reference retention times and mass spectra for analytes are obtained by the measurement of calibration standards under precisely the same extraction conditions used for samples.  The concentration of each identified component is measured by relating the response of the sample quantitation mass ions to the response of the quantitation mass ions of a series of external standards.  A deuterated surrogate recovery standard is added to provide information on matrix effects.","EMS Migration"
"1;2-Dichloroethane (mass conc.)","Volatile Organic Compounds (VOCs); EMS code: C022","107-06-2","MassPerMass","mg/kg",TRUE,"C022","CHEMICAL","NUMERIC","FS04","Static Headspace:HRGC/LRMS","Static Headspace anaylsis is a method for the determination of volatile compounds in liquids and/or solids by analysing the vapour phase of a sample in a closed system; in this case a sealed vial.  Static Headspace is sometimes referred to as Equilibrium Headspace because the vapour phase above the sample in a sealed vial is brought into thermodynamic equilibrium with the sample prior to analysis.  Volatile organic compounds are thermally extracted from the sample matrix by Static Headspace sampling and introduced directly to a thick-film megabore GC column.  Compounds eluting from the GC column are introduced into a Mass Spectrometer and target compounds are identified by a comparison of both retention times and mass spectra with those of reference standards stored in a computerized data system.  Reference retention times and mass spectra for analytes are obtained by the measurement of calibration standards under precisely the same extraction conditions used for samples.  The concentration of each identified component is measured by relating the response of the sample quantitation mass ions to the response of the quantitation mass ions of a series of external standards.  A deuterated surrogate recovery standard is added to provide information on matrix effects.","EMS Migration"
"Dichlorodehydroabietic Acid (mass conc.)","Organics; EMS code: D053","57055-39-7","MassPerMass","mg/kg",TRUE,"D053","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Abietic Acid (mass conc.)","Organics; EMS code: A030","514-10-3","MassPerMass","mg/kg",TRUE,"A030","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Chlorodehydroabietic (mass conc.)","Organics; EMS code: C050","65310-45-4; 65281-76-7","MassPerMass","mg/kg",TRUE,"C050","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Dihydroisopimaric (mass conc.)","Organics; EMS code: D051",NA,"MassPerMass","mg/kg",TRUE,"D051","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Neoabietic Acid (mass conc.)","Organics; EMS code: N005","471-77-2","MassPerMass","mg/kg",TRUE,"N005","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Dehydroabietic Acid (mass conc.)","Organics; EMS code: D052","1740-19-8","MassPerMass","mg/kg",TRUE,"D052","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Sandaracopimaric Acid (mass conc.)","Organics; EMS code: S006","471-74-9","MassPerMass","mg/kg",TRUE,"S006","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"14-Chlorodehydroabietic Acid (mass conc.)","Organics; EMS code: C049","65281-76-7","MassPerMass","mg/kg",TRUE,"C049","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"12-Chlorodehydroabietic Acid (mass conc.)","Organics; EMS code: C048","65310-45-4","MassPerMass","mg/kg",TRUE,"C048","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Pimaric Acid (mass conc.)","Organics; EMS code: P025","127-27-5","MassPerMass","mg/kg",TRUE,"P025","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Palustric Acid (mass conc.)","Organics; EMS code: FA12","1945-53-5","MassPerMass","mg/kg",TRUE,"FA12","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"8(14)-Abietenic Acid (mass conc.)","Organics; EMS code: A031","19407-37-5","MassPerMass","mg/kg",TRUE,"A031","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Isopimaric Acid (mass conc.)","Organics; EMS code: I004","5835-26-7","MassPerMass","mg/kg",TRUE,"I004","CHEMICAL","NUMERIC","FS05","MeOH:DCM extr:HRGC/LRMS","Sediment samples are extracted by shaking with Methanol in a screw cap centrifuge bottle.  The extracts are rotary evaporated and the resulting residues, containing the Resin Acids and other solvent soluble organics, are then redissolved in Methanol, transferred to small glass vials, methylated with Diazomethane then evaporated to dryness under Nitrogen.  [Methylation Reaction  R-COOH(Resin/Fatty Acids) + CH2N2 (Diazomethane) = R-COOCH3 (Methyl ester) + N2]  The residue is re-dissolved in Methyl t-Butyl Ether (MTBE) and injected on a High Resolution Gas Chromatograph / Low Resolution Mass Spectrometer (HRGC/LRMS) system for analysis.  LRMS data is acquired in Total Ion Mode (TIM) and quantitation is performed using selected mass ions.  Positive identification of the various Resin Acids is made on the basis of a comparison of absolute retention times to those of the external standards and computer based mass spectral mass/intensity library matching routines.","EMS Migration"
"Arochlor 1232 (PCB) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A019","11141-16-5","MassPerMass","mg/kg",TRUE,"A019","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Arochlor 1016 (PCB) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A020","12674-11-2","MassPerMass","mg/kg",TRUE,"A020","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Arochlor 1260 (PCB) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A022","11096-82-5","MassPerMass","mg/kg",TRUE,"A022","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Arochlor 1254 (PCB) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A021","11097-69-1","MassPerMass","mg/kg",TRUE,"A021","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Arochlor 1242 (PCB) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A017","53469-21-9","MassPerMass","mg/kg",TRUE,"A017","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Arochlor 1262 (PCB) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A024","37324-23-5","MassPerMass","mg/kg",TRUE,"A024","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Arochlor 1221 (PCB) Chlorodiphenyl (21% Cl) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A018","11104-28-2","MassPerMass","mg/kg",TRUE,"A018","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Arochlor 1248 (PCB) (mass conc.)","Polychlorinated biphenylds (PCBs); EMS code: A023","12672-29-6","MassPerMass","mg/kg",TRUE,"A023","CHEMICAL","NUMERIC","FS06","Frozen:Acetone extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl, then treated using Florisil, concentrated Sulfuric Acid, activated Copper and Mercury (as required) to remove interferences.  The samples are then analysed using Megabore Column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Hydrocarbons;Extract (mass conc.)","Petroleum Hydrocarbons; EMS code: H-TE",NA,"MassPerMass","mg/kg",TRUE,"H-TE","CHEMICAL","NUMERIC","FS07","Freon 113 Extr:Infrared","Freon 113 soluble compounds are extracted from an acidified effluent sample and made up to a measured volume.  Sediment samples are acidified then extracted using a wrist-action shaker.  The ""Oils and Greases"" content of the Freon extracts is determined using an Infrared Spectrophotometer with commercial quantitation software.  Quantitation is based on the comparison of the Absorbance difference between samples and a synthetic oil standard.  As there is no sample Absorbance band at 4000 cm-1 it represents a useful reference value to compensate for minor differences between spectrophotometer quartz cells.  Sample Absorbance at 2935 cm-1 represents the C-H stretching frequency of the aliphatic hydrocarbons of which typical environmental ""Oils and Greases"" are comprised.  ""Hydrocarbons"" are quantitated in the same manner after treating the Freon 113 extract with Silica Gel.","EMS Migration"
"Oil & Grease (mass conc.)","Petroleum Hydrocarbons; EMS code: 0003",NA,"MassPerMass","mg/kg",TRUE,"0003","CHEMICAL","NUMERIC","FS07","Freon 113 Extr:Infrared","Freon 113 soluble compounds are extracted from an acidified effluent sample and made up to a measured volume.  Sediment samples are acidified then extracted using a wrist-action shaker.  The ""Oils and Greases"" content of the Freon extracts is determined using an Infrared Spectrophotometer with commercial quantitation software.  Quantitation is based on the comparison of the Absorbance difference between samples and a synthetic oil standard.  As there is no sample Absorbance band at 4000 cm-1 it represents a useful reference value to compensate for minor differences between spectrophotometer quartz cells.  Sample Absorbance at 2935 cm-1 represents the C-H stretching frequency of the aliphatic hydrocarbons of which typical environmental ""Oils and Greases"" are comprised.  ""Hydrocarbons"" are quantitated in the same manner after treating the Freon 113 extract with Silica Gel.","EMS Migration"
"Mercury Total (mass conc.)","Metals - Total; EMS code: HG-T",NA,"MassPerMass","mg/kg",TRUE,"HG-T","CHEMICAL","NUMERIC","FS08","D&G:Nitric/HCl:CVAF","Samples are dried at 60 C, then either sieved to -100 mesh (150 um) and rolled to homogenize, or finely ground with a mortar and pestle or a shatter box laboratory mill and rolled (depending on the submitter's requirements).  The samples are then weighed into Teflon digestion liners and digested with HNO3 and HCI in a microwave oven.  Samples are cooled, volumized, and allowed to settle overnight before being decanted.  Anaysis is then performed via Inductively Coupled Argon Plasma Atomic Emission Spectrometry (ICP-AES) (Simultaneous multi element analysis), Graphite Furnace Atomic Absorption spectrometry (GF-AAS)(low level analysis), Cold Vapor Atomic Fluorescence Spectrometry (CV-AFS) (Mercury analysis) and/or Flame Atomic Absorption Spectrometry (F-AAS)(K analysis).","EMS Migration"
"Nitrogen Total (mass conc.)","Nutrients; EMS code: 0114",NA,"MassPerMass","mg/kg",TRUE,"0114","CHEMICAL","NUMERIC","FS09","K/Persulphate Dig:Red'n:Col'm","The Total Nitrogen present in the sample is oxidized to nitrate by digesting the sample with potassium persulphate in an alkaline medium.  The resulting Nitrate is reduced to Nitrite by passing it through a column containing granulated copper-cadmium.  The nitrite then reacts with sulfanilamide under acidic conditions to form a diazo compound.  This compound then complexes with N-1-naphthylethylenediamine dihydrochloride to form a reddish-purple azo dye, the absorbance of which is measured at 550 nm.","EMS Migration"
"p;p'-DDD (mass conc.)","Pesticides; EMS code: D019","72-54-8","MassPerMass","mg/kg",TRUE,"D019","CHEMICAL","NUMERIC","FS10","Acetone Extr:GC/ECD","Sediment and homogenized biota samples are Acetone extracted using a wrist-action shaker, Hexane partitioned using a Sodium Chloride solution, then treated in the manner outlined for effluent samples.  The extracts are analysed using megabore column Gas Chromatography with Electron Capture Detection.","EMS Migration"
"Pentachlorophenol (mass conc.)","Pesticides; EMS code: P022","87-86-5","MassPerMass","mg/kg",TRUE,"P022","CHEMICAL","NUMERIC","FS11","Acetone extr:Hexane:Diazometh.Methyl'n:HRGC/Electron Capture","Sediment and homogenized biota samples to be analysed for Chlorinated Phenols are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl and Hexane, methylated, then cleaned up and analysed in the manner outlined for effluent samples.  Sediment and homogenized biota samples to be analysed for Chlorinated Anisoles are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl and Hexane, then cleaned up and analysed in the manner outlined for effluent samples.  The extracts are analysed for Chlorinated Anisoles and/or Chlorinated Phenols using High Resolution Gas Chromatography with Electron Capture detection.","EMS Migration"
"2;3;4;5-Tetrachloroanisole (mass conc.)","Organics; EMS code: T018","938-86-3","MassPerMass","mg/kg",TRUE,"T018","CHEMICAL","NUMERIC","FS11","Acetone extr:Hexane:Diazometh.Methyl'n:HRGC/Electron Capture","Sediment and homogenized biota samples to be analysed for Chlorinated Phenols are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl and Hexane, methylated, then cleaned up and analysed in the manner outlined for effluent samples.  Sediment and homogenized biota samples to be analysed for Chlorinated Anisoles are Acetone extracted using a wrist-action shaker, partitioned with 2% NaCl and Hexane, then cleaned up and analysed in the manner outlined for effluent samples.  The extracts are analysed for Chlorinated Anisoles and/or Chlorinated Phenols using High Resolution Gas Chromatography with Electron Capture detection.","EMS Migration"
